"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Jacob De Jesus","WR","KC","671.9","","","","","","","","","671.9"
"Jack Sorenson","WR","","673.5","","","","","","","","","673.5"
"Jerome Cunningham","TE","","675.0","","","","","","","","","675.0"
"Marcus Peterson","WR","","675.2","","","","","","","","","675.2"
"Trevon Wesco","TE","","676.0","","","","","","","","","676.0"
"Todd Gurley","RB","","678.1","","","","","","","","","678.1"
"John Ursua","WR","","678.5","","","","","","","","","678.5"
"Cole Beck","WR","","679.0","","","","","","","","","679.0"
"Kalif Jackson","TE","MIA","680.0","","","","","","","","","680.0"
"Chris Brown","WR","","680.5","","","","","","","","","680.5"
"Sone Ntoh","RB","","681.5","","","","","","","","","681.5"
"Tyler Moore","TE","","682.2","","","","","","","","","682.2"
"Ryan Fitzpatrick","QB","","682.4","","","","","","","","","682.4"
"Josh Imatorbhebhe","WR","","683.1","","","","","","","","","683.1"
"Josh Gordon","WR","","684.0","","","","","","","","","684.0"
"Kai Locksley","WR","","685.0","","","","","","","","","685.0"
"Zimari Manning","WR","","686.5","","","","","","","","","686.5"
"Kekoa Crawford","WR","","687.0","","","","","","","","","687.0"
"T.J. Simmons","WR","","687.2","","","","","","","","","687.2"
"Chase Claypool","WR","","687.5","","","","","","","","","687.5"
"Mike Thomas","WR","","688.3","","","","","","","","","688.3"
"Broc Rutter","QB","","689.5","","","","","","","","","689.5"
"Jerand Bradley","WR","LAC","690.0","","","","","","","","","690.0"
"Al-Jay Henderson","RB","","691.0","","","","","","","","","691.0"
"Roman Hemby","RB","LV","691.0","","","","","","","","","691.0"
"Kole Taylor","TE","","692.0","","","","","","","","","692.0"
"Marlon Mack","RB","","693.0","","","","","","","","","693.0"
"Will Pauling","WR","SF","694.0","","","","","","","","","694.0"
"Sean Mannion","QB","","694.7","","","","","","","","","694.7"
"Nakia Griffin-Stewart","TE","","695.3","","","","","","","","","695.3"
"Vincent Testaverde","QB","","696.0","","","","","","","","","696.0"
"Lamar Miller","RB","","699.5","","","","","","","","","699.5"
"Kirk Merritt","WR","","700.0","","","","","","","","","700.0"
"Brandon Shippen","WR","","700.5","","","","","","","","","700.5"
